O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-9151.00	3.A.3	On-the-Job Training	OJ	8	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-9151.00	3.A.3	On-the-Job Training	OJ	9	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-9151.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.02	23	0.2262	1.5481	2.4864	N	08/2018	Incumbent
11-9161.00	2.D.1	Required Level of Education	RL	1	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	2	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	3	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	4	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	5	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	6	59.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	7	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	8	13.64	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	9	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	10	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	11	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.1	Required Level of Education	RL	12	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.36	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	1	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	2	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	3	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	4	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	5	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	6	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	7	22.73	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	8	50.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	9	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	10	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.1	Related Work Experience	RW	11	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	1	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	2	18.18	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	3	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	4	13.64	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	5	18.18	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	6	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	7	18.18	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	8	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	1	4.55	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	2	22.73	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	3	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	4	18.18	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	5	22.73	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	6	9.09	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	7	13.64	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	8	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.3	On-the-Job Training	OJ	9	0.00	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9161.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.36	22	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
11-9171.00	2.D.1	Required Level of Education	RL	1	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	2	25.54	17	11.4699	8.7143	55.1932	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	3	14.63	17	12.8869	1.8854	60.4337	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	4	3.49	17	3.6178	0.3684	26.0843	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	5	49.85	17	13.6199	23.8531	75.9346	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	6	1.16	17	1.2286	0.1219	10.1885	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	7	5.33	17	5.3750	0.5868	34.9821	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	8	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	9	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	10	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	11	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.1	Required Level of Education	RL	12	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.62	17	0.3800	2.8119	4.4233	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	1	28.09	17	13.5666	8.5975	61.8642	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	2	1.47	17	1.5897	0.1466	13.2223	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	3	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	4	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	5	14.69	17	12.8971	1.9062	60.4092	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	6	15.75	17	11.5278	2.8787	54.1088	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	7	28.64	17	11.8541	10.5063	57.8532	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	8	11.35	17	6.5458	3.1247	33.7072	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	9	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	10	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.1	Related Work Experience	RW	11	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	1	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	2	29.52	17	11.3404	11.6556	57.0851	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	3	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	4	1.47	17	1.5895	0.1466	13.2211	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	5	34.59	17	13.3803	13.1137	64.9423	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	6	29.77	17	15.9421	7.7625	68.0941	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	7	3.49	17	3.6178	0.3684	26.0843	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	8	1.16	17	1.2286	0.1219	10.1885	N	08/2024	Incumbent
11-9171.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	1	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	2	25.60	17	16.1681	5.3832	67.5390	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	3	2.95	17	2.3174	0.5420	14.4699	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	4	30.61	17	13.5783	10.2115	63.1038	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	5	15.79	17	10.2425	3.5332	48.9759	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	6	25.06	17	12.4506	7.5797	57.6892	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	7	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	8	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.3	On-the-Job Training	OJ	9	0.00	17	0.0000	n/a	n/a	N	08/2024	Incumbent
11-9171.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	3.47	17	0.4585	2.4979	4.4417	N	08/2024	Incumbent
11-9179.01	2.D.1	Required Level of Education	RL	1	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	2	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	3	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	4	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	5	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	6	42.31	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	7	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	8	50.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	9	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	10	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	11	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.1	Required Level of Education	RL	12	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	2.D.4.a	Job-Related Professional Certification	IM	n/a	4.54	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	1	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	2	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	3	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	4	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	5	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	6	26.92	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	7	46.15	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	8	15.38	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	9	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	10	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.1	Related Work Experience	RW	11	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	1	19.23	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	2	38.46	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	3	15.38	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	4	11.54	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	5	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	6	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	7	7.69	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	8	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.2	On-Site or In-Plant Training	PT	9	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	1	19.23	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	2	38.46	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	3	11.54	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	4	26.92	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	5	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	6	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	7	3.85	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	8	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.3	On-the-Job Training	OJ	9	0.00	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.01	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.73	26	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
11-9179.02	2.D.1	Required Level of Education	RL	1	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	2	6.23	21	4.0449	1.5447	21.9723	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	3	33.66	21	21.0333	6.6381	78.3515	Y	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	4	13.83	21	14.6167	1.2287	67.4508	Y	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	5	25.29	21	16.6090	5.1329	67.9281	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	6	20.55	21	16.7844	2.9412	68.8287	Y	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	7	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	8	0.44	21	0.4534	0.0493	3.7319	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	9	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	10	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	11	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	2.D.1	Required Level of Education	RL	12	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	1	0.05	21	0.0528	0.0055	0.4528	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	2	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	3	13.04	21	14.4835	1.0323	68.2937	Y	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	4	0.72	21	0.7534	0.0789	6.1752	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	5	2.93	21	2.9879	0.3372	21.2473	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	6	5.98	21	4.3582	1.2484	24.2620	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	7	41.46	21	22.7368	9.1199	83.3296	Y	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	8	30.13	21	16.5642	7.7126	69.0029	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	9	0.47	21	0.5006	0.0522	4.1693	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	10	5.21	21	5.2508	0.5961	33.5367	N	07/2012	Incumbent
11-9179.02	3.A.1	Related Work Experience	RW	11	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	1	18.72	21	16.0238	2.4976	67.4446	Y	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	2	23.97	21	16.3772	4.6129	67.2653	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	3	40.59	21	22.7749	8.7003	83.0511	Y	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	4	8.58	21	7.3058	1.3269	39.5766	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	5	6.96	21	5.1631	1.3962	28.3039	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	6	1.18	21	0.9299	0.2248	5.9335	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	7	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	8	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.2	On-Site or In-Plant Training	PT	9	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	1	4.48	21	4.1407	0.6205	26.0790	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	2	23.62	21	16.4246	4.4250	67.3804	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	3	59.53	21	15.7907	27.2642	85.2356	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	4	1.11	21	0.8874	0.2056	5.7262	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	5	10.36	21	7.7924	1.9690	39.9487	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	6	0.90	21	0.6953	0.1771	4.4202	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	7	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	8	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9179.02	3.A.3	On-the-Job Training	OJ	9	0.00	21	0.0000	n/a	n/a	N	07/2012	Incumbent
11-9199.01	2.D.1	Required Level of Education	RL	1	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	2	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	3	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	4	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	5	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	6	73.91	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	7	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	8	13.04	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	9	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	10	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	11	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.1	Required Level of Education	RL	12	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	2.D.4.a	Job-Related Professional Certification	IM	n/a	2.52	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	1	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	2	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	3	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	4	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	5	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	6	8.70	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	7	34.78	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	8	26.09	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	9	21.74	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	10	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.1	Related Work Experience	RW	11	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	1	21.74	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	2	8.70	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	3	30.43	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	4	8.70	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	5	17.39	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	6	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	7	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	8	4.35	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.2	On-Site or In-Plant Training	PT	9	0.00	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	1	0.00	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	2	18.18	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	3	22.73	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	4	13.64	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	5	27.27	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	6	9.09	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	7	9.09	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	8	0.00	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.3	On-the-Job Training	OJ	9	0.00	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.01	3.A.4.a	Job-related Apprenticeship	IM	n/a	1.52	23	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
11-9199.02	2.D.1	Required Level of Education	RL	1	0.00	24	0.0000	n/a	n/a	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	2	8.93	24	5.6272	2.2923	29.0916	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	3	6.72	24	6.4931	0.8380	38.0446	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	4	1.27	24	1.3131	0.1464	10.1107	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	5	5.33	24	4.3197	0.9471	24.8682	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	6	63.38	24	11.9817	37.2981	83.4287	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	7	0.00	24	0.0000	n/a	n/a	N	08/2019	Incumbent
11-9199.02	2.D.1	Required Level of Education	RL	8	14.21	24	7.4992	4.4326	37.1585	N	08/2019	Incumbent
